name,author,narrator,time,releasedate,language,price,rating,ratings_count
"Geronimo Stilton #11 & #12",GeronimoStilton,BillLobely,140,2008-08-04,English,468,5.0,34
"The Burning Maze",RickRiordan,RobbieDaymond,788,2018-05-01,English,820,4.5,41
"The Deep End",JeffKinney,DanRussell,123,2020-11-06,English,410,4.5,38
"Daughter of the Deep",RickRiordan,SoneelaNankani,676,2021-10-05,English,615,4.5,12
"The Lightning Thief: Percy Jackson, Book 1",RickRiordan,JesseBernstein,600,2010-01-13,English,820,4.5,181
"The Hunger Games: Special Edition",SuzanneCollins,TatianaMaslany,635,2018-10-30,English,656,5.0,72
"Quest for the Diamond Sword",WinterMorgan,LukeDaniels,143,2014-11-25,English,233,5.0,11
"The Dark Prophecy",RickRiordan,RobbieDaymond,752,2017-05-02,English,820,5.0,50
"The Tyrantâ€™s Tomb",RickRiordan,RobbieDaymond,802,2019-09-24,English,820,5.0,58
"The Titan's Curse: Percy Jackson, Book 3",RickRiordan,JesseBernstein,528,2010-01-14,English,820,4.5,130
"Magnus Chase and the Ship of the Dead",RickRiordan,MichaelCrouch,778,2017-10-03,English,820,5.0,41
"Geronimo Stilton #13 and #14",GeronimoStilton,BillLobley,145,2008-02-08,English,467,4.5,33
Exile,ShannonMessenger,CaitlinKelly,881,2018-11-06,English,836,5.0,20
"The Tower of Nero",RickRiordan,RobbieDaymond,732,2020-10-06,English,615,5.0,79
"Eldest: The Inheritance Cycle, Book 2",ChristopherPaolini,GerrardDoyle,1409,2009-04-14,English,957,4.5,47
"Artemis Fowl",EoinColfer,GerryO'Brien,406,2013-04-11,English,683,5.0,27
"Geronimo Stilton 22 & 24",GeronimoStilton,BillLobley,157,2011-02-01,English,469,4.5,25
"Percy Jackson and the Battle of the Labyrinth",RickRiordan,JesseBernstein,632,2010-01-21,English,820,5.0,101
Winnie-the-Pooh,A.A.Milne,PeterDennis,166,2003-12-28,English,468,5.0,15
"Geronimo Stilton #20 and #21",GeronimoStilton,BillLobley,152,2010-10-01,English,469,5.0,18
"The Red Pyramid",RickRiordan,"JaneCollingwood,JosephMay",824,2013-01-24,English,820,4.5,37
"Mystery of the Griefer's Mark",WinterMorgan,LukeDaniels,113,2014-11-25,English,233,5.0,9
"Geronimo Stilton #17",GeronimoStilton,BillLobley,148,2009-07-13,English,468,5.0,8
"The House at Pooh Corner",A.A.Milne,PeterDennis,192,2005-04-05,English,374,5.0,5
"Mission Unstoppable",DanGutman,MichaelGoldstrom,368,2013-08-01,English,702,5.0,8
"Darkness of Dragons",TuiT.Sutherland,ShannonMcManus,626,2017-08-01,English,656,5.0,8
"14 Short Stories Bundle for Kids: Adventure, Science Fiction, Aesopâ€™s Fables, Classic Fairy Tales and Christmas Story Books for Children",NayomiPhillips,"MonicaRachelle,JimD.Johnston,KatieOtten",193,2019-01-22,English,501,NULL,NULL
"The Adventures of Rusty",RuskinBond,NehaGargava,341,2018-11-01,Hindi,284,4.5,10
"Geronimo Stilton #15 and #16",GeronimoStilton,BillLobley,163,2008-02-08,English,467,4.0,28
"The Lost Heir",TuiT.Sutherland,ShannonMcManus,443,2016-02-04,English,575,5.0,9
Everblaze,ShannonMessenger,CaitlinKelly,879,2018-11-06,English,836,5.0,18
"Treasure Hunters in Trouble",WinterMorgan,LukeDaniels,118,2015-03-31,English,668,5.0,7
"Curse of the Arctic Star",CarolynKeene,JorjeanaMarie,215,2014-12-28,English,305,4.5,25
"The Ghost of Grey Fox Inn",CarolynKeene,JorjeanaMarie,199,2017-03-20,English,305,5.0,11
"Rowley Jefferson's Awesome Friendly Adventure",JeffKinney,ChristopherGebauer,91,2020-08-04,English,410,4.0,16
"Secret of the Red Arrow",FranklinW.Dixon,TimGregory,213,2015-11-04,English,305,4.5,16
"The Lightning Thief: Percy Jackson, Book 1",RickRiordan,WalterLewis,231,2010-01-13,English,615,4.0,4
"Clash of the Creepers",WinterMorgan,LukeDaniels,121,2015-07-07,English,233,5.0,10
"The Skeletons Strike Back",WinterMorgan,LukeDaniels,121,2015-07-07,English,233,5.0,7
Dragonslayer,TuiT.Sutherland,ShannonMcManus,764,2020-03-03,English,656,5.0,17
"A Bear Called Paddington",MichaelBond,StephenFry,159,2008-06-24,English,266,NULL,NULL
"The Dark Secret",TuiT.Sutherland,ShannonMcManus,455,2016-07-01,English,575,5.0,9
"The Gruffalo's Child","JuliaDonaldson,AxelScheffler",ImeldaStaunton,22,2010-08-19,English,323,4.5,4
